Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2018,September,286,0,0,0,0,3,38,2,23,2,12.37266666666667,82.673,16.239,20.56833333333333,12.747,Bageshwar
2018,October,342,0,0,0,0,1,19,1,11,4,6.724516129032258,63.76258064516129,11.15322580645161,17.15032258064516,6.41774193548387,Bageshwar
2018,November,354,0,0,0,0,1,19,1,11,4,4.626333333333333,52.71933333333333,8.757,15.92333333333333,3.755,Bageshwar
2018,December,307,0,0,0,0,0,24,1,85,0,2.977096774193548,45.92193548387097,4.559032258064517,12.14838709677419,-0.6512903225806452,Bageshwar
2017,January,292,0,0,0,0,0,36,3,14,1,3.276129032258065,55.0283870967742,3.519354838709677,10.15774193548387,-1.308064516129032,Bageshwar
2017,February,169,0,0,0,0,45,0,0,15,0,3.326428571428572,41.625,7.7175,15.73214285714286,1.518928571428571,Bageshwar
2017,March,321,0,0,0,0,29,71,3,7,0,4.247096774193548,47.74774193548387,9.452258064516128,16.8116129032258,3.027741935483871,Bageshwar
2017,April,310,0,0,0,0,0,0,0,0,0,5.653333333333333,43.45466666666667,15.32666666666667,22.58566666666667,8.297666666666666,Bageshwar
2017,May,280,0,0,0,0,0,0,0,0,0,8.105483870967742,53.22774193548387,17.44354838709678,23.65677419354839,11.6441935483871,Bageshwar
2017,June,330,0,0,0,0,0,0,0,0,0,11.35666666666667,67.24600000000001,18.67733333333333,24.23933333333333,13.555,Bageshwar
2017,July,303,0,0,0,0,0,0,0,0,0,14.74354838709677,87.43774193548387,18.09322580645161,21.60387096774194,15.10741935483871,Bageshwar
2017,August,321,0,0,1,0,5,30,0,11,1,15.0458064516129,89.33225806451614,18.02677419354839,21.59709677419355,15.14838709677419,Bageshwar
2017,September,322,0,0,0,0,5,84,2,18,0,12.447,81.18366666666667,16.77933333333333,21.33333333333333,12.91733333333333,Bageshwar
2017,October,214,0,0,0,0,16,96,6,27,0,7.615161290322581,61.83677419354839,13.39096774193548,19.64290322580645,8.563225806451612,Bageshwar
2017,November,198,0,0,0,0,0,19,2,2,0,4.763999999999999,52.327,9.044,16.17,4.242,Bageshwar
2017,December,266,0,0,0,0,4,32,3,8,1,2.966451612903226,38.06645161290322,7.146774193548387,15.01741935483871,1.770322580645161,Bageshwar
2016,January,311,0,0,-1,-1,-1,-1,-1,-1,-1,2.480645161290323,37.65806451612904,4.800000000000001,12.29193548387097,-0.2280645161290323,Bageshwar
2016,February,234,0,0,-1,-1,-1,-1,-1,-1,-1,3.062413793103449,40.48,7.128620689655172,14.89172413793104,1.080689655172414,Bageshwar
2016,March,218,0,0,-1,-1,-1,-1,-1,-1,-1,4.847741935483871,50.15709677419355,10.69032258064516,17.80838709677419,4.486451612903226,Bageshwar
2016,April,232,0,0,-1,-1,-1,-1,-1,-1,-1,5.141,37.37066666666666,16.20266666666667,23.60133333333333,9.388666666666667,Bageshwar
2016,May,363,0,0,-1,-1,-1,-1,-1,-1,-1,8.264516129032257,54.50580645161291,17.55258064516129,23.55129032258064,12.13483870967742,Bageshwar
2016,June,395,0,0,-1,-1,-1,-1,-1,-1,-1,12.41033333333333,69.75333333333333,19.394,24.597,15.03033333333333,Bageshwar
2016,July,344,0,0,-1,-1,-1,-1,-1,-1,-1,14.94612903225806,88.14774193548386,18.16451612903226,21.69967741935484,15.38774193548387,Bageshwar
2016,August,350,1,0,-1,-1,-1,-1,-1,-1,-1,14.27806451612903,86.8816129032258,17.68032258064516,21.19032258064516,14.67387096774194,Bageshwar
